# a small number of samples are being processed and this list will be updated soon
CAMB-729C2,ERS4945888,EPI_ISL_439588
CAMB-729D1,ERS4946005,EPI_ISL_439900
CAMB-729E0,ERS4945878,EPI_ISL_439579
CAMB-729FF,ERS4945854,EPI_ISL_439558
CAMB-72A0B,ERS4945986,EPI_ISL_439883
CAMB-72A1A,ERS4945852,EPI_ISL_439556
CAMB-72A29,ERS4945998,EPI_ISL_439893
CAMB-72A47,ERS4945941,EPI_ISL_439641
CAMB-72A56,ERS4945970,EPI_ISL_439868
CAMB-72A65,ERS4946045,EPI_ISL_439937
CAMB-72A74,ERS4945963,EPI_ISL_439663
CAMB-72A83,ERS4945914,EPI_ISL_439614
CAMB-72AA1,ERS4946031,EPI_ISL_439924
CAMB-72AB0,ERS4945967,EPI_ISL_439865
CAMB-72ACF,ERS4945973,EPI_ISL_439871
CAMB-72ADE,ERS4946022,EPI_ISL_439915
CAMB-72AED,ERS4946017,NULL
CAMB-72AFC,ERS4945849,EPI_ISL_439553
CAMB-72B17,ERS4945883,EPI_ISL_439583
CAMB-73CC8,ERS4535409,NULL
CAMB-7591A,ERS4946121,EPI_ISL_438264
CAMB-75929,ERS4946148,EPI_ISL_438291
CAMB-75938,ERS4946283,EPI_ISL_438419
CAMB-75947,ERS4946346,EPI_ISL_438482
CAMB-75956,ERS4946347,EPI_ISL_438483
CAMB-75974,ERS4946197,EPI_ISL_438340
CAMB-75983,ERS4946334,EPI_ISL_438470
CAMB-75992,ERS4946136,EPI_ISL_438279
CAMB-759A1,ERS4946371,EPI_ISL_438507
CAMB-759B0,ERS4946139,EPI_ISL_438282
CAMB-759CF,ERS4946243,EPI_ISL_591082
CAMB-759DE,ERS4946353,EPI_ISL_438489
CAMB-759ED,ERS4946340,EPI_ISL_438476
CAMB-759FC,ERS4946115,EPI_ISL_438258
CAMB-75A08,ERS4946338,EPI_ISL_438474
CAMB-75A17,ERS4946269,EPI_ISL_438406
CAMB-75A26,ERS4946331,EPI_ISL_438467
CAMB-75A35,ERS4946258,EPI_ISL_438395
CAMB-75A44,ERS4946368,EPI_ISL_438504
CAMB-75A53,ERS4946192,EPI_ISL_438335
CAMB-75A62,ERS4946232,EPI_ISL_438373
CAMB-75A71,ERS4946249,EPI_ISL_438388
CAMB-75A80,ERS4946117,EPI_ISL_438260
CAMB-75A9F,ERS4946365,EPI_ISL_438501
CAMB-75ABD,ERS4946168,EPI_ISL_438311
CAMB-75ACC,ERS4946198,EPI_ISL_438341
CAMB-75ADB,ERS4946312,EPI_ISL_438448
CAMB-75AEA,ERS4890385,EPI_ISL_439427
CAMB-75AF9,ERS4946176,EPI_ISL_438319
CAMB-75B14,ERS4946199,EPI_ISL_438342
CAMB-75B23,ERS4946162,EPI_ISL_438305
CAMB-75B32,ERS4946154,EPI_ISL_438297
CAMB-75B41,ERS4946237,EPI_ISL_438378
CAMB-75B50,ERS4946228,EPI_ISL_438370
CAMB-75B6F,ERS4946336,EPI_ISL_438472
CAMB-75B7E,ERS4946135,EPI_ISL_438278
CAMB-75B8D,ERS4946222,EPI_ISL_438364
CAMB-75B9C,ERS4946303,EPI_ISL_438439
CAMB-75BAB,ERS4946164,EPI_ISL_438307
CAMB-75BBA,ERS4946195,EPI_ISL_438338
CAMB-75BC9,ERS4946156,EPI_ISL_438299
CAMB-75BD8,ERS4946369,EPI_ISL_438505
CAMB-75BE7,ERS4946229,EPI_ISL_438371
CAMB-75BF6,ERS4946187,EPI_ISL_438330
CAMB-75C02,ERS4946302,EPI_ISL_438438
CAMB-75C11,ERS4946247,EPI_ISL_438386
CAMB-75C20,ERS4946367,EPI_ISL_438503
CAMB-75C3F,ERS4946210,EPI_ISL_438353
CAMB-75C4E,ERS4946172,EPI_ISL_438315
CAMB-75C5D,ERS4946161,EPI_ISL_438304
CAMB-75C6C,ERS4946327,EPI_ISL_438463
CAMB-75C7B,ERS4946158,EPI_ISL_438301
CAMB-75C8A,ERS4946119,EPI_ISL_438262
CAMB-75CB7,ERS4946294,EPI_ISL_438430
CAMB-75CC6,ERS4946345,EPI_ISL_438481
CAMB-75CD5,ERS4946188,EPI_ISL_438331
CAMB-75CE4,ERS4946149,EPI_ISL_438292
CAMB-75CF3,ERS4946315,EPI_ISL_438451
CAMB-75D0F,ERS4946280,EPI_ISL_438416
CAMB-75D1E,ERS4946212,EPI_ISL_438355
CAMB-75D2D,ERS4946287,EPI_ISL_438423
CAMB-75D3C,ERS4946193,EPI_ISL_438336
CAMB-75D4B,ERS4946284,EPI_ISL_438420
CAMB-75D5A,ERS4946181,EPI_ISL_438324
CAMB-75D69,ERS4946141,EPI_ISL_438284
CAMB-75D78,ERS4946170,EPI_ISL_438313
CAMB-75D87,ERS4946325,EPI_ISL_438461
CAMB-75D96,ERS4946191,EPI_ISL_438334
CAMB-75DA5,ERS4946208,EPI_ISL_438351
CAMB-75DB4,ERS4946362,EPI_ISL_438498
CAMB-75DC3,ERS4946372,EPI_ISL_438508
CAMB-75DD2,ERS4946127,EPI_ISL_438270
CAMB-75DE1,ERS4946230,NULL
CAMB-75DF0,ERS4946355,EPI_ISL_438491
CAMB-75E0C,ERS4946250,EPI_ISL_438389
CAMB-75E1B,ERS4946319,EPI_ISL_438455
CAMB-75E2A,ERS4946201,EPI_ISL_438344
CAMB-75E39,ERS4946178,EPI_ISL_438321
CAMB-75E48,ERS4946260,EPI_ISL_438397
CAMB-75E57,ERS4946361,EPI_ISL_438497
CAMB-75E66,ERS4946133,EPI_ISL_438276
CAMB-75E75,ERS4946248,EPI_ISL_438387
CAMB-75E93,ERS4946169,EPI_ISL_438312
CAMB-75EA2,ERS4946274,NULL
CAMB-75EB1,ERS4946335,EPI_ISL_438471
CAMB-75EDF,ERS4946256,EPI_ISL_438393
CAMB-75EEE,ERS4946358,EPI_ISL_438494
CAMB-75EFD,ERS4946341,EPI_ISL_438477
CAMB-75F27,ERS4946225,EPI_ISL_438367
CAMB-75F36,ERS4946128,EPI_ISL_438271
CAMB-75F45,ERS4946245,EPI_ISL_438385
CAMB-75F54,ERS4946262,EPI_ISL_438399
CAMB-75F63,ERS4946147,EPI_ISL_438290
CAMB-75F72,ERS4946209,EPI_ISL_438352
CAMB-75F81,ERS4946273,EPI_ISL_438410
CAMB-75F90,ERS4946134,EPI_ISL_438277
CAMB-75FBE,ERS4946278,EPI_ISL_438414
CAMB-75FCD,ERS4946218,EPI_ISL_438360
CAMB-75FDC,ERS4946344,EPI_ISL_438480
CAMB-75FEB,ERS4946254,NULL
CAMB-75FFA,ERS4946308,EPI_ISL_438444
CAMB-76005,ERS4946279,EPI_ISL_438415
CAMB-76023,ERS4946306,EPI_ISL_438442
CAMB-76041,ERS4890407,EPI_ISL_439448
CAMB-76050,ERS4890365,EPI_ISL_439407
CAMB-7606F,ERS4890308,EPI_ISL_438529
CAMB-7607E,ERS4890486,EPI_ISL_439523
CAMB-7608D,ERS4890421,EPI_ISL_439461
CAMB-7609C,ERS4946268,EPI_ISL_438405
CAMB-760AB,ERS4890390,EPI_ISL_439432
CAMB-760BA,ERS4890481,EPI_ISL_439518
CAMB-760C9,ERS4890492,EPI_ISL_439527
CAMB-760D8,ERS4946140,EPI_ISL_438283
CAMB-760E7,ERS4890410,EPI_ISL_439450
CAMB-760F6,ERS4946125,EPI_ISL_438268
CAMB-76102,ERS4890401,EPI_ISL_439442
CAMB-76111,ERS4946137,EPI_ISL_438280
CAMB-76120,ERS4890467,EPI_ISL_439505
CAMB-7614E,ERS4890431,EPI_ISL_439469
CAMB-7615D,ERS4946185,EPI_ISL_438328
CAMB-7616C,ERS4890426,EPI_ISL_439465
CAMB-7617B,ERS4946328,EPI_ISL_438464
CAMB-7618A,ERS4946173,EPI_ISL_438316
CAMB-761A8,ERS4946159,EPI_ISL_438302
CAMB-761B7,ERS4946252,NULL
CAMB-761C6,ERS4946296,EPI_ISL_438432
CAMB-761D5,ERS4946316,EPI_ISL_438452
CAMB-761E4,ERS4946275,EPI_ISL_438411
CAMB-761F3,ERS4946282,EPI_ISL_438418
CAMB-7620F,ERS4946276,EPI_ISL_438412
CAMB-7621E,ERS4890418,EPI_ISL_439458
CAMB-7622D,ERS4946224,EPI_ISL_438366
CAMB-7624B,ERS4946305,EPI_ISL_438441
CAMB-76269,ERS4946190,EPI_ISL_438333
CAMB-76278,ERS4946123,EPI_ISL_438266
CAMB-76287,ERS4946200,EPI_ISL_438343
CAMB-762A5,ERS4946301,EPI_ISL_438437
CAMB-762B4,ERS4946227,EPI_ISL_438369
CAMB-762C3,ERS4946356,EPI_ISL_438492
CAMB-762D2,ERS4946220,EPI_ISL_438362
CAMB-762E1,ERS4946277,EPI_ISL_438413
CAMB-762F0,ERS4946189,EPI_ISL_438332
CAMB-7630C,ERS4946150,EPI_ISL_438293
CAMB-7631B,ERS4890368,EPI_ISL_439410
CAMB-7632A,ERS4946165,EPI_ISL_438308
CAMB-76339,ERS4890470,EPI_ISL_439508
CAMB-76348,ERS4946244,EPI_ISL_438384
CAMB-76366,ERS4946266,EPI_ISL_438403
CAMB-76375,ERS4946146,EPI_ISL_438289
CAMB-76384,ERS4946202,EPI_ISL_438345
CAMB-76393,ERS4946131,EPI_ISL_438274
CAMB-763A2,ERS4946263,EPI_ISL_438400
CAMB-763B1,ERS4890430,NULL
CAMB-763C0,ERS4946167,EPI_ISL_438310
CAMB-763EE,ERS4946211,EPI_ISL_438354
CAMB-763FD,ERS4946264,EPI_ISL_438401
CAMB-76409,ERS4946304,EPI_ISL_438440
CAMB-76418,ERS4890301,EPI_ISL_438522
CAMB-76427,ERS4946324,EPI_ISL_438460
CAMB-76445,ERS4946130,EPI_ISL_438273
CAMB-76454,ERS4946144,EPI_ISL_438287
CAMB-76463,ERS4946223,EPI_ISL_438365
CAMB-76472,ERS4890305,EPI_ISL_438526
CAMB-76481,ERS4946124,EPI_ISL_438267
CAMB-76490,ERS4946203,EPI_ISL_438346
CAMB-764CD,ERS4946293,EPI_ISL_438429
CAMB-764DC,ERS4890366,EPI_ISL_439408
CAMB-764EB,ERS4946145,EPI_ISL_438288
CAMB-764FA,ERS4946317,EPI_ISL_438453
